global step 	 epoch 	 step-time 	perplexity 	 last_accuracy_AA 	 last_accuracy_peptide 	valid_bucket_id 	 perplexity 	 accuracy_AA 	 accuracy_peptide 
100 	 0.0 	 0.75 	 8.0318 	 0.7697 	 0.0781 	0 	 3.4077 	 0.8675 	 0.3808 	1 	 3.6081 	 0.7883 	 0.1217 	2 	 4.6796 	 0.7056 	 0.0176 	
200 	 0.1 	 0.70 	 3.1581 	 0.8559 	 0.2344 	0 	 2.3729 	 0.9255 	 0.6263 	1 	 2.6204 	 0.8816 	 0.3525 	2 	 3.4482 	 0.7972 	 0.0768 	
300 	 0.1 	 0.72 	 2.5716 	 0.7760 	 0.0859 	0 	 2.1917 	 0.9384 	 0.6627 	1 	 2.3276 	 0.8994 	 0.4129 	2 	 2.9722 	 0.8372 	 0.1322 	
400 	 0.1 	 0.73 	 2.4017 	 0.9073 	 0.3984 	0 	 2.0678 	 0.9443 	 0.6878 	1 	 2.1808 	 0.9099 	 0.4647 	2 	 2.7953 	 0.8513 	 0.1634 	
500 	 0.2 	 0.73 	 2.2681 	 0.9104 	 0.4062 	0 	 2.0013 	 0.9467 	 0.6953 	1 	 2.1262 	 0.9147 	 0.4754 	2 	 2.7696 	 0.8527 	 0.1680 	
600 	 0.2 	 0.72 	 2.1493 	 0.9483 	 0.7500 	0 	 1.9242 	 0.9532 	 0.7361 	1 	 2.0633 	 0.9185 	 0.5067 	2 	 2.7218 	 0.8561 	 0.1706 	
700 	 0.3 	 0.72 	 2.0732 	 0.9262 	 0.4844 	0 	 1.8566 	 0.9573 	 0.7522 	1 	 2.0196 	 0.9229 	 0.5176 	2 	 2.6973 	 0.8580 	 0.1758 	
800 	 0.3 	 0.72 	 2.0050 	 0.9275 	 0.5312 	0 	 1.8268 	 0.9596 	 0.7646 	1 	 1.9737 	 0.9252 	 0.5228 	2 	 2.5422 	 0.8651 	 0.2194 	
900 	 0.3 	 0.72 	 1.9522 	 0.9770 	 0.8594 	0 	 1.7812 	 0.9613 	 0.7751 	1 	 1.9362 	 0.9297 	 0.5458 	2 	 2.5003 	 0.8702 	 0.2546 	
1000 	 0.4 	 0.72 	 1.8985 	 0.9743 	 0.8203 	0 	 1.7514 	 0.9660 	 0.7999 	1 	 1.9062 	 0.9332 	 0.5689 	2 	 2.4423 	 0.8731 	 0.2428 	
